id;name;path;url;createdOn;environmentsCount;environments;;;;;;;;;;;;;;;;;;;
64;Legacy-Wms-Trs004-CD;\WMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/64;2023-05-16T00:05:37.353Z;31;Desarrollo/Tester/Control-Produccion/1-Culiacan/2-Leon/3-Laguna/4-Mexicali/5-Nogales/6-Monterrey/7-Guadalajara/8-Azcapozalco/9-Nuevo Laredo/10-Ciudad Juarez/11-Hermosillo/12-Puebla/13-VillaHermosa/14-La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-ImpMexicali/20-LosMochis/21-Tecamac/22-Veracruz/24-Merida/25-Tlaquepaque(GDII)/26-IMPixtapaluca/27-Toluca/28-Texcoco/SCM Inspection;;;;;;;;;;;;;;;;;;;
65;Legacy-Oms-Cns006-CD;\OMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/65;2023-05-16T00:10:08.32Z;31;Desarrollo/Tester/Control-Produccion/1-Culiacan/2-Leon/3-Laguna/4-Mexicali/5-Nogales/6-Monterrey/7-Guadalajara/8-Azcapozalco/9-Nuevo Laredo/10-Ciudad Juarez/11-Hermosillo/12-Puebla/13-VillaHermosa/14-La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-ImpMexicali/20-LosMochis/21-Tecamac/22-Veracruz/24-Merida/25-Tlaquepaque(GDII)/26-IMPixtapaluca/27-Toluca/28-Texcoco/SCM Inspection;;;;;;;;;;;;;;;;;;;
66;Legacy-Oms-Inf022-CD;\OMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/66;2023-05-16T00:18:52.497Z;31;Desarrollo/Tester/Control-Produccion/1-Culiacan/2-Leon/3-Laguna/4-Mexicali/5-Nogales/6-Monterrey/7-Guadalajara/8-Azcapozalco/9-Nuevo Laredo/10-Ciudad Juarez/11-Hermosillo/12-Puebla/13-VillaHermosa/14-La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-ImpMexicali/20-LosMochis/21-Tecamac/22-Veracruz/24-Merida/25-Tlaquepaque(GDII)/26-IMPixtapaluca/27-Toluca/28-Texcoco/SCM Inspection;;;;;;;;;;;;;;;;;;;
67;Legacy-Wms-Pck015-CD;\WMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/67;2023-05-16T00:59:14.37Z;31;Desarrollo/Tester/Control-Produccion/1-Culiacan/2-Leon/3-Laguna/4-Mexicali/5-Nogales/6-Monterrey/7-Guadalajara/8-Azcapozalco/9-Nuevo Laredo/10-Ciudad Juarez/11-Hermosillo/12-Puebla/13-VillaHermosa/14-La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-ImpMexicali/20-LosMochis/21-Tecamac/22-Veracruz/24-Merida/25-Tlaquepaque(GDII)/26-IMPixtapaluca/27-Toluca/28-Texcoco/SCM Inspection;;;;;;;;;;;;;;;;;;;
70;Wms-cap-administracionCarriers-K8s-CD;\WMS;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/70;2023-05-22T22:14:09.42Z;4;Desarrollo/Tester/Producción/SCM Inspection;;;;;;;;;;;;;;;;;;;
78;PDM-Items-K8s-CD;\PDM;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/78;2023-05-26T22:32:46.6Z;3;Desarrollo/Tester/Producción;;;;;;;;;;;;;;;;;;;
81;wms-apk-receiving001menu-CD;\WMS\Recepcion de Mercancia;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/81;2023-05-30T17:53:20.197Z;4;Desarrollo 110/Tester 27/Produccion/SCM Inspection;;;;;;;;;;;;;;;;;;;
82;wms-apk-receiving002recibirct-CD;\WMS\Recepcion de Mercancia;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/82;2023-05-30T18:07:12.967Z;4;Desarrollo 110/Tester 27/Produccion/SCM Inspection;;;;;;;;;;;;;;;;;;;
83;pim-cap-itemInformationValidarItemMoto-17026-RH8-CD;\WMS\Salida de Mercancias;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/83;2023-06-02T00:00:55.2Z;28;Desarrollo/Tester/Produccion/01-Cualican/02-Leon/03-Laguna/04-Mexicali/05-Nogales/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Nuevo Laredo/10-Juarez/11-Hermosillo/12-Guadalupe/13-Villa Hermosa/14- La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-Los Mochis/20-Tecamac/21-Veracruz/22-Texcoco/23-Merida/24-Tlaquepaque/25-Toluca;;;;;;;;;;;;;;;;;;;
87;MantenimientoServices-K8s-CD;\UtilitiesBox\ToolsBox;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/87;2023-06-06T16:05:30.677Z;2;Desarrollo/QA;;;;;;;;;;;;;;;;;;;
